Step,Link,Average Link Speed,Average Link Travel Time,Average Link Occupancy,Average Running Vehicles,Average Halting Vehicles,Average CO Emission,Average CO2 Emission,Average HC Emission,Average PMx Emission,Average NOx Emission,Average Fuel Consumption
250.0,gneE32,12.486305731583043,27.54829093844254,0.013991836359800485,1.064,0.02,22.73646784037894,1924.175177180995,0.1478934529912265,0.02963017426718354,0.7474017162060737,0.8271224830760566
250.0,gneE33,12.972892639000333,10.810279911237162,0.03288653480248942,1.832,0.0,47.44881831164941,4219.905270985172,0.313522464306013,0.06526760514471415,1.6488682935221823,1.813957599948564
250.0,gneE34,9.599456718579551,39.42922364590183,0.059689178071397064,4.56,1.956,348.98028240594243,10911.77437615299,1.8449668143940285,0.21965600221051942,4.628646042320141,4.690619592694812
250.0,gneE35,12.824743503844857,15.791434004010515,0.017188224722264597,1.3,0.012,32.63499191319145,2387.272006299568,0.20378338938291718,0.03726250928697925,0.9311913903430586,1.0261914413130429
250.0,gneE36,13.160611134074498,10.579419561129988,0.0317022176385544,1.752,0.0,48.73064427902924,4240.336586792474,0.32064221479677607,0.06830021217710064,1.673789547643382,1.8227370249460797
250.0,gneE37,9.805852334481747,39.388143727719836,0.05971314705348174,4.544,1.948,343.84843066973923,10813.177189072287,1.8188900503789873,0.21728800418050842,4.579820132192023,4.648235123223933
250.0,gneE38,12.776798805185898,26.117795126678466,0.011977774820166728,0.916,0.016,17.89818641925831,1716.9432085448582,0.1214354370697886,0.026145521186486314,0.6649193409964587,0.7380405977820226
250.0,gneE39,13.080566734105016,10.70351466465864,0.03645712777793931,2.02,0.0,65.03254237352336,5173.274110400144,0.4170188455054207,0.08510887981872288,2.0651101628216164,2.223767384480066
250.0,gneE40,9.769234263212683,35.596819252211404,0.07311380958592958,5.584,1.992,396.0013777651221,13479.514847265642,2.119789361309383,0.26814094388296283,5.721960885832652,5.79438069315914
250.0,gneE41,12.780821046350864,25.593388608202524,0.0166349394347489,1.272,0.076,33.265300397771924,2541.14813649178,0.2107228322920866,0.0409221428432568,1.0027805730623498,1.0923330620460507
250.0,gneE42,13.00571760180551,10.712591359229803,0.040526907015146135,2.24,0.0,61.26651028675004,5391.389320130133,0.40444923460179966,0.08514232571838241,2.1197177925656394,2.317526523355056
250.0,gneE44,10.342830609992152,23.67365890074577,0.046675404277486184,3.56,1.06,235.07924614331188,9338.13273234538,1.2898990614656558,0.17941954460641332,3.8977278460675033,4.014121379104282
250.0,gneE45,11.321352115423933,13.020952565504327,0.00870772181726878,0.456,0.16,36.25368125915027,1353.619687684352,0.19699745030285937,0.026758407373641487,0.5690611912272943,0.5818723469883299
250.0,gneE45-n,13.89,9.470122390208783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,gneE47,8.492722938969326,43.23467440623487,0.018222382434656407,1.724,1.16,174.19917339387592,3621.4238830442046,0.8779422764538359,0.08097897725605879,1.5878883532628858,1.5567708987789972
250.0,gneE47-n,13.72841034985862,17.203939080749254,0.0037477300856026967,0.364,0.008,12.410823955166325,1009.2773704771043,0.08018599344226163,0.017451617479395453,0.4070368022998204,0.4338433925859241
250.0,gneE48,13.697352375947613,17.302749809891107,0.003590286218900528,0.344,0.008,11.181049697716258,936.0306581750463,0.07286125220608967,0.015480181785550459,0.37220477891733517,0.4023587857592547
250.0,gneE48-n,9.348165670544097,43.40705144469319,0.0211079308548036,1.992,1.16,172.84951095085523,3905.551603294347,0.8782506408264317,0.08361929658166312,1.6911726126018494,1.678903752081772
250.0,gneE49,13.89,9.470122390208783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,gneE49-n,9.488360454565107,18.392956424470228,0.01374139862890413,0.728,0.256,49.47907498436386,1712.973019618103,0.2653077298126026,0.03274361787046832,0.7139864014204206,0.7363500702996386
250.0,gneE51,13.32192044834111,9.972515205369122,0.013242488500945511,0.692,0.0,19.251398068434327,1676.6766057944592,0.12675262382238114,0.026422634720001153,0.6595832274544403,0.7207313993967284
250.0,gneE52,11.320465768985361,25.897509829199343,0.023926526082398113,1.252,0.38,70.28700927613558,2605.028656900686,0.38121882070419183,0.05029191887639691,1.0921738506679912,1.1198097821886102
250.0,gneE53,9.89976960039928,31.334338711772354,0.012866968482277016,0.672,0.376,57.79735958640469,1376.1620429113293,0.295246361756237,0.028744440220569108,0.587721585284012,0.5915781287325461
250.0,gneE53-n,11.273832217855379,15.112109180873057,0.01841410131736259,0.972,0.396,64.20286715306007,2187.960912795388,0.3437601462060605,0.043736031121630464,0.9284209898031593,0.9405290682938325
250.0,gneE54,8.918033709271292,41.411264901299475,0.015432801669200687,1.448,0.968,161.07438394997692,3290.3257517195593,0.8102825556994969,0.07436638889837216,1.4521872427858717,1.414439761254567
250.0,gneE54-n,13.56271472461395,17.501004572059024,0.002659322575334378,0.252,0.0,7.434329195733332,604.5022686008075,0.047816429855883906,0.009136142940441384,0.2360448091869003,0.25985054604706515
250.0,gneE55,13.864683640615452,17.013508463955986,0.000721350178825693,0.068,0.0,2.622300942145791,231.75118564288195,0.017372141738295172,0.003929576982872479,0.09243472463271318,0.0996194916657294
250.0,gneE55-n,7.837340257970672,65.84189378678711,0.02030447061650712,1.904,1.204,189.22969696714307,3949.0878783301855,0.9540041531701418,0.08775790157770083,1.7319569252155642,1.6976263016667321
250.0,gneE56,13.895147683138358,9.466960749428317,0.000723279785810258,0.04,0.0,0.45002405453035604,65.74669691748785,0.003578292456536825,0.0009185845120093266,0.0244703467549835,0.028261671437835117
