Step,Link,Average Link Speed,Average Link Travel Time,Average Link Occupancy,Average Running Vehicles,Average Halting Vehicles,Average CO Emission,Average CO2 Emission,Average HC Emission,Average PMx Emission,Average NOx Emission,Average Fuel Consumption
41500.0,gneE38,5.710870199386391,57.360797729816476,0.1684056101863105,12.876,0.4,696.3976050361422,22696.67329188889,3.70064183356231,0.44188117219318845,9.637272364967659,9.756554013579576
10500.0,gneE42,11.445570409000092,12.246119666148617,0.11335319922431888,6.192,0.0,207.42969300230027,15880.727101282366,1.3154674682770742,0.2635020754545946,6.359394002173476,6.8264421659127015
21750.0,gneE52,6.784147738973966,44.051280763931864,0.15311131000048164,8.052,3.136,587.7772948612993,17399.788567647232,3.0849159628111953,0.3596497611667101,7.493074784460634,7.479614597820296
56500.0,gneE57,2.202548771460926,106.62706688540948,0.2975727783645832,15.692,6.4,1201.0249807302441,27556.941560523275,6.113919652103401,0.6055639784033069,12.173075185569294,11.846019615685972
41250.0,gneE60,5.504868414762854,49.80196063715355,0.1241814437443683,6.5,2.956,530.9400422902245,14495.406391078259,2.7558501221892238,0.2948159916743153,6.173429711081898,6.231159772841807
13750.0,gneE54,1.4136464830644444,224.45481806059487,0.10296251799948306,9.696,7.732,1231.4273366591271,22071.08774630831,6.124945864657554,0.5272113667388518,9.947333819388847,9.487966260294735
36000.0,gneE62,8.361427888112662,35.328195000264856,0.0837649876732541,4.388,1.668,275.13144461854233,8867.080268270922,1.4609461228983802,0.17934058757855043,3.7777418186595737,3.811661914524315
42250.0,gneE54,2.0508933988508167,139.7538436471372,0.03356178826085716,3.156,2.552,412.8250933557935,7379.248678102904,2.0527935832315087,0.17604648079319937,3.324822665926344,3.172208397328927
8500.0,gneE63,12.587341058136083,79.18972132974541,0.06931929313291463,27.704,0.0,577.6951050502805,59624.77097969568,4.003536160917502,0.8783200907566256,22.842765333685513,25.63015566163636
49000.0,gneE37,0.21485533939961837,584.6067039947051,0.6037095613480422,46.024,42.708,6875.310862201804,111695.74814834683,33.92884141572293,2.784913131275158,51.128641724604094,48.01637498152911
48500.0,gneE54-n,12.174539591366305,28.908959893542207,0.012804051332286707,1.196,0.364,70.21915483841826,2827.5202537846376,0.38602473647006913,0.05364481697280177,1.1747599974722909,1.215447749376905
41000.0,gneE63-n,3.3870128165344378,313.85802323750187,0.24288091685777652,96.628,14.524,6476.771117010849,170334.6660092136,33.45938474711393,3.5035400947442814,73.59133530130129,73.22205283339444
55750.0,gneE53-n,8.505198426339648,31.045053494314015,0.04731198660127045,2.492,0.948,189.9773500434312,6303.782624533597,1.013307042148398,0.12796149553415914,2.6937621780617107,2.7097797634402494
43500.0,gneE64-n,9.430049884013647,107.4564806502393,0.08775596775556714,34.852,2.292,1472.5927630710796,78409.37818347331,8.530079889629512,1.341552247148826,31.70236121280475,33.7051397155877
44750.0,gneE64,12.791500630716357,77.85585259881567,0.06452590209549089,25.78,0.0,521.934332782347,55642.03473697118,3.6575019276448826,0.8186040729311816,21.278777784183653,23.9181365206212
45750.0,gneE55,11.676472363011579,34.48790165744126,0.01665699152175563,1.576,0.608,113.37609676913864,3787.7138588620546,0.6049252103722965,0.0744887929955558,1.593399577297957,1.6282121587112595
13250.0,gneE60,6.12036401100347,51.664987104424874,0.10773318521948283,5.656,2.292,415.9965692454876,12685.961811709649,2.1906806796889544,0.2517294396898538,5.360642654708849,5.4532995551143975
6250.0,gneE63-n,5.965305117391699,171.87350336868096,0.14564486641685748,57.928,1.868,3145.880981316261,115057.66265214617,17.001220434982077,2.148386210454454,48.12351260302736,49.459333041284765
13500.0,gneE66-n,10.555406785744147,94.99941483373205,0.07829509396978329,31.104,0.536,1083.3308276698276,70769.7039069696,6.575956820656059,1.1597053416664096,28.20473694582241,30.42101658255052
11250.0,gneE61,8.299962295562676,49.05984020420088,0.11541046605107759,6.036,3.084,515.7708459550286,13167.557244282149,2.657677259793117,0.28267338964155275,5.731494767147167,5.660358623563863
11750.0,gneE47,0.6339760207867136,308.5385919890955,0.1944788208457862,18.32,15.92,2572.480083788669,43102.124184999375,12.72490593966962,1.059143686236502,19.63414874567005,18.528929525404607
1000.0,gneE53,11.72286976430419,12.76935875820916,0.011280690570875556,0.584,0.112,32.783112457929434,1631.5027945842526,0.18748137370805618,0.02922301687815445,0.6654190523236289,0.7013196626568228
31750.0,gneE39,6.186548202870501,27.273751005687668,0.2437614175332867,13.336,0.0,733.6480262483303,27236.913744625515,3.976531764726494,0.516151916045477,11.457083163555941,11.708190124667109
41500.0,gneE47,0.7267962014032455,265.3388313009419,0.13082110716725065,12.312,10.752,1754.9020668163394,29681.826038618583,8.687589407504808,0.7280994977494671,13.51274011149315,12.759740836953574
17500.0,gneE37,7.061991616201769,50.141136490917745,0.11955523712345417,9.096,3.772,743.8545375641639,23295.13621662839,3.933980076115545,0.4719746932367056,9.920489435053122,10.013819519967445
26750.0,gneE63,12.598947178481522,79.07494396666472,0.058107725704306966,23.232,0.0,471.6949506267373,50047.2972226598,3.2972971561131383,0.7237871851185642,19.058898863982932,21.513218533006693
58250.0,gneE49-n,11.252505470971007,11.810122918884034,0.018334569496438632,0.952,0.256,56.341075752074886,2416.923226883566,0.3128542571965588,0.04352852884160687,0.9874678290513259,1.0389476453616806
43250.0,gneE39,5.212303711426653,51.162502994904976,0.2162905875395602,11.94,0.828,730.9528701391604,21688.088902503434,3.833174027146818,0.4276876796240848,9.244516566134687,9.323044364857182
